CUSTNAME,CUSTPHNO,CUSTMAIL
Amaya Santos,4489803452,Amaya.Santos@abc.com
Walker Carroll,8343801562,Walker.Carroll@abc.com
Zara Bautista,2219969547,Zara.Bautista@abc.com
Raul Huang,4244090890,Raul.Huang@abc.com
Francesca Sutton,2688092834,Francesca.Sutton@abc.com
Warren Hood,3784121145,Warren.Hood@abc.com
Briana Deleon,6408751100,Briana.Deleon@abc.com
Nasir Vo,3382170261,Nasir.Vo@abc.com
Artemis Schmidt,5013229847,Artemis.Schmidt@abc.com
Zayden Cano,7733149011,Zayden.Cano@abc.com
Egypt Sierra,9968956883,Egypt.Sierra@abc.com
Dayton Rubio,8086360190,Dayton.Rubio@abc.com
